# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60394.860000,764671103.981891,-396534.541941,-75093.793739,-29903.076817,0.209480,-0.835005,-0.459805
60394.880000,764672832.013892,-396168.997321,-76536.024193,-30697.360111,0.213596,-0.834209,-0.459487
60394.900000,764674560.038310,-395796.346249,-77976.859872,-31491.083435,0.217707,-0.833399,-0.459160
60394.920000,764676288.016181,-395416.602622,-79416.241714,-32284.214281,0.221816,-0.832572,-0.458826
60394.940000,764678016.014454,-395029.757267,-80854.198907,-33076.768768,0.225922,-0.831730,-0.458483
60394.960000,764679743.999270,-394635.823167,-82290.676659,-33868.716738,0.230024,-0.830872,-0.458131
60394.980000,764681471.986835,-394234.802242,-83725.661864,-34660.051004,0.234123,-0.830000,-0.457771
60395.000000,764683200.036842,-393826.685964,-85159.177428,-35450.784253,0.238220,-0.829112,-0.457402
60395.020000,764684927.986932,-393411.518664,-86591.062143,-36240.827596,0.242312,-0.828208,-0.457025
60395.040000,764686656.000376,-392989.267304,-88021.424808,-37030.241099,0.246400,-0.827289,-0.456639
60395.060000,764688384.003728,-392559.955529,-89450.178014,-37818.976571,0.250486,-0.826355,-0.456245
60395.080000,764690111.978331,-392123.594365,-90877.279865,-38607.010923,0.254568,-0.825406,-0.455843
60395.100000,764691840.031091,-391680.162804,-92302.792070,-39394.378281,0.258646,-0.824440,-0.455433
60395.120000,764693567.977762,-391229.714683,-93726.536192,-40180.980126,0.262721,-0.823461,-0.455013
60395.140000,764695296.025546,-390772.202533,-95148.656476,-40966.896197,0.266792,-0.822464,-0.454585
60395.160000,764697023.985414,-390307.682950,-96568.970880,-41752.025936,0.270858,-0.821453,-0.454149
60395.180000,764698751.974496,-389836.131556,-97987.549323,-42536.408031,0.274921,-0.820428,-0.453705
60395.200000,764700480.037655,-389357.542343,-99404.402046,-43320.048207,0.278981,-0.819386,-0.453251
60395.220000,764702208.004849,-388871.969524,-100819.363249,-44102.854806,0.283035,-0.818329,-0.452790
60395.240000,764703935.993539,-388379.387649,-102232.502840,-44884.866536,0.287086,-0.817257,-0.452320
60395.260000,764705664.023828,-387879.797821,-103643.810779,-45666.077903,0.291132,-0.816170,-0.451842
60395.280000,764707391.991934,-387373.237521,-105053.175984,-46446.427458,0.295174,-0.815067,-0.451355
60395.300000,764709120.019034,-386859.678670,-106460.670943,-47225.955389,0.299212,-0.813949,-0.450861
60395.320000,764710848.004225,-386339.158766,-107866.187130,-48004.601641,0.303246,-0.812817,-0.450357
60395.340000,764712576.041921,-385811.656967,-109269.775009,-48782.394220,0.307275,-0.811669,-0.449845
60395.360000,764714303.979296,-385277.228038,-110671.284254,-49559.249866,0.311299,-0.810505,-0.449324
60395.380000,764716031.971161,-384735.832313,-112070.814248,-50335.223709,0.315319,-0.809326,-0.448796
60395.400000,764717759.978803,-384187.489536,-113468.307270,-51110.283807,0.319334,-0.808133,-0.448259
60395.420000,764719488.014551,-383632.203654,-114863.746973,-51884.421159,0.323344,-0.806924,-0.447713
60395.440000,764721215.975757,-383070.016286,-116257.024370,-52657.575340,0.327350,-0.805699,-0.447160
60395.460000,764722943.969120,-382500.901327,-117648.199383,-53429.779650,0.331350,-0.804460,-0.446597
60395.480000,764724671.998148,-381924.865748,-119037.248552,-54201.021132,0.335345,-0.803206,-0.446026
