# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60391.380000,764370432.026648,-347059.050152,171852.304410,96154.905360,-0.338676,-0.316553,-0.273958
60391.400000,764372160.037044,-347688.287887,171314.485115,95754.508256,-0.390604,-0.307209,-0.189073
60391.420000,764373887.982759,-348412.900188,170785.828270,95503.235422,-0.449397,-0.306186,-0.101119
60391.440000,764375616.037428,-349246.640006,170250.459653,95407.766202,-0.517306,-0.315363,-0.008435
60391.460000,764377343.996827,-350207.886999,169688.056550,95477.912161,-0.597732,-0.338304,0.090917
60391.480000,764379072.044226,-351322.666893,169069.583211,95727.122597,-0.696077,-0.381747,0.199193
60391.500000,764380800.016899,-352628.917876,168349.453054,96172.664236,-0.821336,-0.459143,0.318405
60391.520000,764382527.959737,-354185.466981,167446.885364,96833.322873,-0.989227,-0.600242,0.447239
60391.540000,764384256.028303,-356087.187208,166197.145713,97712.586503,-1.225707,-0.880523,0.563037
60391.560000,764385983.977732,-358465.360458,164210.057081,98689.405166,-1.527037,-1.504018,0.502012
60391.580000,764387711.981708,-361115.713313,160757.832384,98914.460184,-1.346176,-2.416387,-0.452730
60391.600000,764389439.992244,-362640.213976,156775.419346,97174.378866,-0.474864,-2.012345,-1.342404
60391.620000,764391168.020405,-363100.250315,153839.940506,94780.250853,-0.126452,-1.432642,-1.369861
60391.640000,764392895.991110,-363211.656555,151684.001656,92517.728719,-0.023127,-1.092225,-1.243148
60391.660000,764394624.034401,-363222.931861,149992.087271,90486.447269,0.002749,-0.880981,-1.109311
60391.680000,764396352.006877,-363218.785582,148600.557949,88676.904723,-0.001104,-0.738011,-0.987245
60391.700000,764398080.033766,-363234.475138,147418.811623,87067.619633,-0.018653,-0.634904,-0.877123
60391.720000,764399808.038400,-363287.459059,146391.747172,85640.077350,-0.043619,-0.557277,-0.776484
60391.740000,764401535.984032,-363387.926661,145482.835468,84380.081487,-0.073334,-0.497203,-0.682878
60391.760000,764403264.013328,-363542.981895,144666.031429,83277.219387,-0.106686,-0.450031,-0.594238
60391.780000,764404992.029264,-363758.530849,143921.710687,82324.489633,-0.143339,-0.412959,-0.508863
60391.800000,764406720.013734,-364040.330322,143234.001466,81517.553796,-0.183423,-0.384317,-0.425283
60391.820000,764408448.008146,-364394.681905,142589.180994,80854.460813,-0.227417,-0.363225,-0.342155
60391.840000,764410176.023952,-364829.005407,141974.490258,80335.553310,-0.276144,-0.349451,-0.258175
60391.860000,764411904.027433,-365352.465318,141377.025932,79963.475620,-0.330835,-0.343424,-0.171982
60391.880000,764413631.997929,-365976.818046,140782.464604,79743.328324,-0.393295,-0.346398,-0.082064
60391.900000,764415359.962908,-366717.667666,140173.304157,79683.019741,-0.466221,-0.360883,0.013338
60391.920000,764417088.024403,-367596.474147,139525.978388,79793.780264,-0.553776,-0.391581,0.116299
60391.940000,764418815.988605,-368643.733635,138805.615187,80090.589289,-0.662679,-0.447531,0.229039
60391.960000,764420544.014550,-369905.443332,137954.368372,80591.765919,-0.804423,-0.547517,0.352755
60391.980000,764422272.007544,-371454.078797,136863.949874,81312.866253,-0.999094,-0.735450,0.480862
60392.000000,764424000.023008,-373405.093746,135297.811878,82228.445901,-1.273369,-1.129076,0.558075
60392.020000,764425727.992821,-375851.597080,132688.442567,83022.890112,-1.506249,-1.982137,0.218029
60392.040000,764427455.994358,-378034.079089,128643.124946,82336.429621,-0.841209,-2.411068,-1.033611
60392.060000,764429184.023019,-378826.247400,125035.393032,80076.468533,-0.185878,-1.754868,-1.421807
60392.080000,764430912.001395,-378934.463696,122437.971323,77670.130441,0.020127,-1.293723,-1.340353
60392.100000,764432640.015811,-378836.623324,120457.044669,75470.961746,0.080269,-1.020750,-1.204200
60392.120000,764434367.974727,-378684.819897,118855.634657,73504.118694,0.090442,-0.844262,-1.074366
60392.140000,764436096.000962,-378535.793664,117509.026353,71750.541545,0.079725,-0.721003,-0.957253
60392.160000,764437823.990552,-378415.147794,116345.334209,70189.476893,0.058657,-0.630161,-0.851162
60392.180000,764439551.996689,-378336.505962,115318.926095,68804.086447,0.031561,-0.560760,-0.753492
60392.200000,764441279.956622,-378308.452568,114398.646950,67581.912391,0.000297,-0.506571,-0.661945
60392.220000,764443007.975887,-378337.454438,113561.631788,66514.000594,-0.034415,-0.463879,-0.574613
60392.240000,764444736.028249,-378429.310021,112790.134714,65594.504071,-0.072465,-0.430440,-0.489903
60392.260000,764446463.965641,-378589.971358,112069.459246,64820.192534,-0.114139,-0.404963,-0.406416
60392.280000,764448192.023041,-378826.218806,111386.347347,64189.997383,-0.160066,-0.386864,-0.322828
60392.300000,764449919.967398,-379146.166456,110728.188798,63705.300659,-0.211234,-0.376196,-0.237832
60392.320000,764451647.986435,-379560.091022,110081.523287,63369.686478,-0.269111,-0.373725,-0.150008
60392.340000,764453375.995950,-380081.307479,109430.887786,63189.409529,-0.335852,-0.381192,-0.057759
60392.360000,764455104.000060,-380727.746461,108756.536820,63173.692791,-0.414714,-0.401915,0.040792
60392.380000,764456831.975780,-381524.419617,108030.750762,63335.250220,-0.510822,-0.442143,0.147794
60392.400000,764458559.989840,-382507.858706,107210.389993,63690.524560,-0.632675,-0.514231,0.265242
60392.420000,764460288.017915,-383734.096104,106220.371116,64257.720027,-0.795032,-0.645060,0.392320
60392.440000,764462016.014009,-385293.022788,104910.734075,65042.756008,-1.022728,-0.901452,0.510624
60392.460000,764463744.002287,-387315.743264,102932.288815,65951.267501,-1.324344,-1.465117,0.488586
60392.480000,764465471.981063,-389697.699389,99569.648544,66273.897010,-1.267991,-2.410415,-0.329829
60392.500000,764467200.029240,-391114.526639,95424.196110,64653.521233,-0.383279,-2.154230,-1.345625
60392.520000,764468927.966529,-391357.451254,92266.071073,62198.591665,0.023060,-1.545410,-1.421439
60392.540000,764470656.038029,-391191.356738,89936.577657,59841.760339,0.145211,-1.182615,-1.298345
60392.560000,764472384.019904,-390904.776414,88099.670902,57716.960102,0.178153,-0.959653,-1.162197
60392.580000,764474111.997630,-390594.402437,86578.503967,55818.392469,0.177560,-0.809931,-1.037437
60392.600000,764475839.987627,-390299.693845,85276.492007,54124.456978,0.161787,-0.702493,-0.925024
60392.620000,764477567.981122,-390039.856678,84135.410506,52615.814929,0.137931,-0.621817,-0.822528
60392.640000,764479295.967021,-389825.898770,83117.034950,51277.565763,0.109003,-0.559426,-0.727426
60392.660000,764481023.996413,-389665.312062,82194.375319,50098.795299,0.076279,-0.510381,-0.637590
60392.680000,764482752.002348,-389564.211411,81347.189073,49072.015517,0.040179,-0.471708,-0.551263
60392.700000,764484480.026585,-389528.433968,80559.207728,48192.464618,0.000628,-0.441626,-0.466941
60392.720000,764486207.990066,-389564.273265,79816.547600,47457.895018,-0.042812,-0.419181,-0.383274
60392.740000,764487936.035018,-389679.078843,79106.302894,46868.249693,-0.090924,-0.404072,-0.298950
60392.760000,764489663.994104,-389881.868243,78415.657475,46425.863037,-0.144892,-0.396655,-0.212633
60392.780000,764491391.976614,-390184.177294,77730.412268,46135.403882,-0.206457,-0.398086,-0.122838
60392.800000,764493119.999725,-390601.228745,77033.460762,46004.318493,-0.278211,-0.410710,-0.027860
60392.820000,764494848.038016,-391153.805587,76302.061448,46043.243359,-0.364130,-0.438929,0.074286
60392.840000,764496575.966224,-391871.398306,75502.874603,46266.409212,-0.470602,-0.491140,0.185738
60392.860000,764498303.981762,-392798.121538,74581.331503,46691.328753,-0.608478,-0.584585,0.307766
60392.880000,764500032.032064,-394003.099672,73437.013572,47333.609538,-0.796695,-0.758865,0.435033
