# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60391.120000,764348037.182626,-340290.495174,189525.527189,112385.177213,-0.538740,-0.715744,-0.374050
60391.140000,764349765.182626,-341218.397392,188286.999774,111737.797070,-0.535220,-0.717735,-0.375231
60391.160000,764351493.182626,-342140.209883,187045.042741,111088.382154,-0.531691,-0.719713,-0.376405
60391.180000,764353221.182626,-343055.917138,185799.679183,110436.944580,-0.528153,-0.721678,-0.377572
60391.200000,764354949.182625,-343965.503650,184550.932192,109783.496465,-0.524606,-0.723629,-0.378732
60391.220000,764356677.182625,-344868.953910,183298.824863,109128.049927,-0.521051,-0.725567,-0.379885
60391.240000,764358405.182625,-345766.252412,182043.380288,108470.617082,-0.517487,-0.727492,-0.381031
60391.260000,764360133.182624,-346657.383673,180784.621571,107811.210055,-0.513914,-0.729403,-0.382170
60391.280000,764361861.182624,-347542.332805,179522.572082,107149.841129,-0.510333,-0.731300,-0.383302
60391.300000,764363589.182624,-348421.085517,178257.255452,106486.522748,-0.506743,-0.733184,-0.384426
60391.320000,764365317.182624,-349293.627544,176988.695323,105821.267364,-0.503144,-0.735054,-0.385544
60391.340000,764367045.182623,-350159.944618,175716.915339,105154.087429,-0.499538,-0.736911,-0.386654
60391.360000,764368773.182623,-351020.022474,174441.939143,104484.995394,-0.495922,-0.738754,-0.387757
60391.380000,764370501.182623,-351873.846845,173163.790378,103814.003711,-0.492299,-0.740583,-0.388853
60391.400000,764372229.182622,-352721.403466,171882.492687,103141.124830,-0.488667,-0.742398,-0.389941
60391.420000,764373957.182622,-353562.678070,170598.069713,102466.371203,-0.485028,-0.744200,-0.391023
60391.440000,764375685.182622,-354397.656392,169310.545099,101789.755282,-0.481380,-0.745989,-0.392097
60391.460000,764377413.182622,-355226.324165,168019.942488,101111.289518,-0.477724,-0.747763,-0.393164
60391.480000,764379141.182621,-356048.667124,166726.285523,100430.986363,-0.474059,-0.749524,-0.394223
60391.500000,764380869.182621,-356864.671001,165429.597847,99748.858267,-0.470387,-0.751270,-0.395276
60391.520000,764382597.182621,-357674.321743,164129.903190,99064.917735,-0.466708,-0.753003,-0.396321
60391.540000,764384325.182621,-358477.606143,162827.225621,98379.177482,-0.463020,-0.754722,-0.397359
60391.560000,764386053.182620,-359274.511205,161521.589299,97691.650275,-0.459324,-0.756428,-0.398389
60391.580000,764387781.182620,-360065.023933,160213.018381,97002.348881,-0.455621,-0.758119,-0.399412
60391.600000,764389509.182620,-360849.131331,158901.537022,96311.286068,-0.451910,-0.759796,-0.400428
60391.620000,764391237.182619,-361626.820405,157587.169381,95618.474602,-0.448192,-0.761460,-0.401436
60391.640000,764392965.182619,-362398.078158,156269.939615,94923.927251,-0.444466,-0.763109,-0.402437
60391.660000,764394693.182619,-363162.891595,154949.871879,94227.656782,-0.440733,-0.764745,-0.403431
60391.680000,764396421.182619,-363921.247720,153626.990332,93529.675963,-0.436992,-0.766366,-0.404417
60391.700000,764398149.182618,-364673.133538,152301.319131,92829.997561,-0.433243,-0.767974,-0.405395
60391.720000,764399877.182618,-365418.536053,150972.882432,92128.634344,-0.429488,-0.769567,-0.406367
60391.740000,764401605.182618,-366157.442269,149641.704392,91425.599077,-0.425725,-0.771146,-0.407331
60391.760000,764403333.182617,-366889.839218,148307.809179,90720.904535,-0.421955,-0.772712,-0.408287
60391.780000,764405061.182617,-367615.714549,146971.221184,90014.563633,-0.418178,-0.774263,-0.409236
60391.800000,764406789.182617,-368335.056528,145631.965027,89306.589423,-0.414394,-0.775799,-0.410177
60391.820000,764408517.182617,-369047.853450,144290.065336,88596.994967,-0.410603,-0.777322,-0.411111
60391.840000,764410245.182616,-369754.093608,142945.546739,87885.793325,-0.406805,-0.778831,-0.412037
60391.860000,764411973.182616,-370453.765297,141598.433864,87172.997557,-0.403000,-0.780325,-0.412956
60391.880000,764413701.182616,-371146.856809,140248.751341,86458.620725,-0.399188,-0.781805,-0.413867
60391.900000,764415429.182616,-371833.356439,138896.523797,85742.675889,-0.395370,-0.783271,-0.414771
60391.920000,764417157.182615,-372513.252480,137541.775861,85025.176109,-0.391545,-0.784722,-0.415667
60391.940000,764418885.182615,-373186.533226,136184.532161,84306.134445,-0.387713,-0.786160,-0.416556
60391.960000,764420613.182615,-373853.186972,134824.817325,83585.563959,-0.383874,-0.787583,-0.417437
60391.980000,764422341.182615,-374513.202010,133462.655983,82863.477710,-0.380029,-0.788991,-0.418310
60392.000000,764424069.182614,-375166.566635,132098.072761,82139.888760,-0.376178,-0.790385,-0.419176
60392.020000,764425797.182614,-375813.269359,130731.092361,81414.810213,-0.372320,-0.791765,-0.420034
