# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60392.980000,764508741.182601,71585.219293,-0.000117,0.000095
60393.000000,764510469.182600,71757.870469,-0.000109,0.000087
60393.020000,764512197.182600,71929.575863,-0.000101,0.000079
60393.040000,764513925.182600,72100.331474,-0.000094,0.000073
60393.060000,764515653.182599,72270.133588,-0.000087,0.000066
60393.080000,764517381.182599,72438.978494,-0.000080,0.000061
60393.100000,764519109.182599,72606.862480,-0.000075,0.000056
60393.120000,764520837.182599,72773.781834,-0.000070,0.000052
60393.140000,764522565.182598,72939.732844,-0.000066,0.000048
60393.160000,764524293.182598,73104.711797,-0.000063,0.000046
60393.180000,764526021.182598,73268.714982,-0.000061,0.000044
60393.200000,764527749.182598,73431.738687,-0.000060,0.000043
60393.220000,764529477.182597,73593.779200,-0.000061,0.000043
60393.240000,764531205.182597,73754.832809,-0.000062,0.000043
60393.260000,764532933.182597,73914.895831,-0.000065,0.000044
60393.280000,764534661.182596,74073.965238,-0.000070,0.000047
60393.300000,764536389.182596,74232.038661,-0.000076,0.000049
60393.320000,764538117.182596,74389.113760,-0.000083,0.000053
60393.340000,764539845.182596,74545.188193,-0.000090,0.000057
60393.360000,764541573.182595,74700.259618,-0.000099,0.000061
60393.380000,764543301.182595,74854.325696,-0.000108,0.000066
60393.400000,764545029.182595,75007.384084,-0.000118,0.000071
60393.420000,764546757.182595,75159.432443,-0.000127,0.000076
60393.440000,764548485.182594,75310.468430,-0.000137,0.000081
60393.460000,764550213.182594,75460.489704,-0.000147,0.000086
60393.480000,764551941.182594,75609.493925,-0.000157,0.000090
60393.500000,764553669.182593,75757.478752,-0.000166,0.000094
60393.520000,764555397.182593,75904.442022,-0.000175,0.000098
60393.540000,764557125.182593,76050.382290,-0.000183,0.000102
60393.560000,764558853.182593,76195.298290,-0.000191,0.000105
60393.580000,764560581.182592,76339.188755,-0.000198,0.000108
60393.600000,764562309.182592,76482.052419,-0.000205,0.000110
60393.620000,764564037.182592,76623.888015,-0.000212,0.000113
60393.640000,764565765.182592,76764.694278,-0.000218,0.000115
60393.660000,764567493.182591,76904.469940,-0.000224,0.000117
60393.680000,764569221.182591,77043.213735,-0.000231,0.000118
60393.700000,764570949.182591,77180.924397,-0.000236,0.000120
60393.720000,764572677.182590,77317.600660,-0.000242,0.000122
60393.740000,764574405.182590,77453.241257,-0.000248,0.000123
