# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60392.060000,764429253.182613,148949522.319166,6151954.984114,2666129.697237,-0.859466,27.396883,11.875254
60392.080000,764430981.182613,148948028.298908,6199296.414645,2686649.967590,-0.869724,27.396439,11.875059
60392.100000,764432709.182613,148946516.554206,6246637.076506,2707169.899490,-0.879981,27.395993,11.874862
60392.120000,764434437.182613,148944987.085672,6293976.964354,2727689.490651,-0.890237,27.395543,11.874664
60392.140000,764436165.182612,148943439.893920,6341316.072844,2748208.738787,-0.900494,27.395091,11.874465
60392.160000,764437893.182612,148941874.979562,6388654.396634,2768727.641612,-0.910750,27.394635,11.874265
60392.180000,764439621.182612,148940292.343209,6435991.930380,2789246.196838,-0.921005,27.394176,11.874063
60392.200000,764441349.182611,148938691.985475,6483328.668739,2809764.402180,-0.931261,27.393715,11.873860
60392.220000,764443077.182611,148937073.906972,6530664.606366,2830282.255351,-0.941515,27.393250,11.873655
60392.240000,764444805.182611,148935438.108311,6577999.737919,2850799.754066,-0.951770,27.392782,11.873449
60392.260000,764446533.182610,148933784.590107,6625334.058054,2871316.896037,-0.962024,27.392311,11.873242
60392.280000,764448261.182610,148932113.352976,6672667.561431,2891833.678981,-0.972278,27.391836,11.873034
60392.300000,764449989.182610,148930424.397541,6720000.242716,2912350.100616,-0.982531,27.391359,11.872824
60392.320000,764451717.182610,148928717.724425,6767332.096573,2932866.158660,-0.992785,27.390879,11.872613
60392.340000,764453445.182609,148926993.334251,6814663.117667,2953381.850831,-1.003037,27.390395,11.872401
60392.360000,764455173.182609,148925251.227641,6861993.300663,2973897.174847,-1.013290,27.389909,11.872187
60392.380000,764456901.182609,148923491.405220,6909322.640225,2994412.128428,-1.023542,27.389419,11.871972
60392.400000,764458629.182609,148921713.867609,6956651.131018,3014926.709290,-1.033793,27.388926,11.871756
60392.420000,764460357.182608,148919918.615431,7003978.767708,3035440.915153,-1.044045,27.388430,11.871538
60392.440000,764462085.182608,148918105.649310,7051305.544958,3055954.743734,-1.054296,27.387932,11.871319
60392.460000,764463813.182608,148916274.969868,7098631.457433,3076468.192752,-1.064546,27.387430,11.871099
60392.480000,764465541.182608,148914426.577728,7145956.499799,3096981.259925,-1.074796,27.386924,11.870877
60392.500000,764467269.182607,148912560.473513,7193280.666720,3117493.942971,-1.085046,27.386416,11.870654
60392.520000,764468997.182607,148910676.657848,7240603.952862,3138006.239609,-1.095296,27.385905,11.870430
60392.540000,764470725.182607,148908775.131364,7287926.352896,3158518.147561,-1.105545,27.385391,11.870204
60392.560000,764472453.182606,148906855.894694,7335247.861496,3179029.664549,-1.115794,27.384873,11.869977
60392.580000,764474181.182606,148904918.948471,7382568.473333,3199540.788296,-1.126042,27.384353,11.869749
