# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60391.960000,764420613.182615,149518491.190311,25.873097,-0.002502
60391.980000,764422341.182615,149520059.569159,26.130809,-0.002541
60392.000000,764424069.182614,149521620.232115,26.388405,-0.002579
60392.020000,764425797.182614,149523173.206663,26.645738,-0.002616
60392.040000,764427525.182614,149524718.518492,26.902721,-0.002650
60392.060000,764429253.182613,149526256.192841,27.159286,-0.002683
60392.080000,764430981.182613,149527786.254950,27.415360,-0.002715
60392.100000,764432709.182613,149529308.730059,27.670874,-0.002745
60392.120000,764434437.182613,149530823.643407,27.925758,-0.002775
60392.140000,764436165.182612,149532331.020234,28.179941,-0.002803
60392.160000,764437893.182612,149533830.885781,28.433353,-0.002830
60392.180000,764439621.182612,149535323.265286,28.685924,-0.002856
60392.200000,764441349.182611,149536808.183989,28.937582,-0.002882
60392.220000,764443077.182611,149538285.667131,29.188259,-0.002908
60392.240000,764444805.182611,149539755.739950,29.437884,-0.002933
60392.260000,764446533.182610,149541218.427630,29.686387,-0.002957
60392.280000,764448261.182610,149542673.754075,29.933719,-0.002982
60392.300000,764449989.182610,149544121.741905,30.179850,-0.003006
60392.320000,764451717.182610,149545562.413685,30.424753,-0.003030
60392.340000,764453445.182609,149546995.791979,30.668398,-0.003054
60392.360000,764455173.182609,149548421.899353,30.910759,-0.003078
60392.380000,764456901.182609,149549840.758372,31.151805,-0.003102
60392.400000,764458629.182609,149551252.391601,31.391509,-0.003125
60392.420000,764460357.182608,149552656.821604,31.629843,-0.003148
60392.440000,764462085.182608,149554054.070948,31.866778,-0.003170
60392.460000,764463813.182608,149555444.162195,32.102286,-0.003193
60392.480000,764465541.182608,149556827.117913,32.336338,-0.003215
60392.500000,764467269.182607,149558202.960665,32.568906,-0.003237
60392.520000,764468997.182607,149559571.712607,32.799965,-0.003258
60392.540000,764470725.182607,149560933.394253,33.029502,-0.003280
60392.560000,764472453.182606,149562288.025708,33.257510,-0.003300
60392.580000,764474181.182606,149563635.627078,33.483979,-0.003321
60392.600000,764475909.182606,149564976.218467,33.708901,-0.003341
60392.620000,764477637.182606,149566309.819980,33.932265,-0.003361
60392.640000,764479365.182605,149567636.451721,34.154065,-0.003381
60392.660000,764481093.182605,149568956.133796,34.374290,-0.003401
60392.680000,764482821.182605,149570268.886310,34.592933,-0.003420
60392.700000,764484549.182605,149571574.729367,34.809984,-0.003439
60392.720000,764486277.182604,149572873.683072,35.025434,-0.003458
60392.740000,764488005.182604,149574165.767531,35.239274,-0.003476
60392.760000,764489733.182604,149575451.002802,35.451497,-0.003494
60392.780000,764491461.182603,149576729.407899,35.662097,-0.003513
60392.800000,764493189.182603,149578001.000793,35.871074,-0.003530
60392.820000,764494917.182603,149579265.799406,36.078429,-0.003548
60392.840000,764496645.182603,149580523.821664,36.284161,-0.003566
60392.860000,764498373.182602,149581775.085488,36.488269,-0.003583
60392.880000,764500101.182602,149583019.608803,36.690755,-0.003600
60392.900000,764501829.182602,149584257.409534,36.891617,-0.003617
60392.920000,764503557.182601,149585488.505603,37.090857,-0.003634
60392.940000,764505285.182601,149586712.914934,37.288473,-0.003652
60392.960000,764507013.182601,149587930.655452,37.484466,-0.003669
60392.980000,764508741.182601,149589141.745079,37.678836,-0.003686
60393.000000,764510469.182600,149590346.201740,37.871582,-0.003703
60393.020000,764512197.182600,149591544.043042,38.062705,-0.003720
60393.040000,764513925.182600,149592735.285327,38.252209,-0.003737
60393.060000,764515653.182599,149593919.944618,38.440097,-0.003754
60393.080000,764517381.182599,149595098.036941,38.626372,-0.003771
60393.100000,764519109.182599,149596269.578319,38.811039,-0.003789
60393.120000,764520837.182599,149597434.584779,38.994102,-0.003806
60393.140000,764522565.182598,149598593.072344,39.175563,-0.003824
60393.160000,764524293.182598,149599745.057040,39.355427,-0.003842
60393.180000,764526021.182598,149600890.554890,39.533697,-0.003860
60393.200000,764527749.182598,149602029.581919,39.710378,-0.003878
60393.220000,764529477.182597,149603162.154153,39.885473,-0.003896
60393.240000,764531205.182597,149604288.287616,40.058985,-0.003915
60393.260000,764532933.182597,149605407.998297,40.230919,-0.003934
60393.280000,764534661.182596,149606521.301401,40.401278,-0.003953
60393.300000,764536389.182596,149607628.211344,40.570069,-0.003973
60393.320000,764538117.182596,149608728.742505,40.737298,-0.003992
60393.340000,764539845.182596,149609822.909268,40.902968,-0.004012
60393.360000,764541573.182595,149610910.726014,41.067086,-0.004031
60393.380000,764543301.182595,149611992.207123,41.229657,-0.004050
60393.400000,764545029.182595,149613067.366978,41.390687,-0.004070
60393.420000,764546757.182595,149614136.219960,41.550181,-0.004089
60393.440000,764548485.182594,149615198.780451,41.708145,-0.004108
60393.460000,764550213.182594,149616255.062831,41.864583,-0.004127
60393.480000,764551941.182594,149617305.081484,42.019502,-0.004145
60393.500000,764553669.182593,149618348.850789,42.172906,-0.004163
60393.520000,764555397.182593,149619386.384891,42.324802,-0.004180
60393.540000,764557125.182593,149620417.696987,42.475194,-0.004197
60393.560000,764558853.182593,149621442.800033,42.624088,-0.004214
60393.580000,764560581.182592,149622461.706989,42.771491,-0.004230
60393.600000,764562309.182592,149623474.430813,42.917406,-0.004246
60393.620000,764564037.182592,149624480.984463,43.061841,-0.004261
60393.640000,764565765.182592,149625481.380897,43.204800,-0.004277
60393.660000,764567493.182591,149626475.633075,43.346289,-0.004291
60393.680000,764569221.182591,149627463.753953,43.486313,-0.004306
60393.700000,764570949.182591,149628445.756490,43.624878,-0.004320
60393.720000,764572677.182590,149629421.653645,43.761990,-0.004335
60393.740000,764574405.182590,149630391.458376,43.897653,-0.004349
60393.760000,764576133.182590,149631355.183616,44.031875,-0.004362
60393.780000,764577861.182590,149632312.841702,44.164659,-0.004376
60393.800000,764579589.182589,149633264.444379,44.296011,-0.004389
60393.820000,764581317.182589,149634210.003366,44.425938,-0.004403
60393.840000,764583045.182589,149635149.530380,44.554443,-0.004416
60393.860000,764584773.182588,149636083.037140,44.681532,-0.004429
60393.880000,764586501.182588,149637010.535364,44.807212,-0.004442
60393.900000,764588229.182588,149637932.036770,44.931486,-0.004454
60393.920000,764589957.182588,149638847.553077,45.054361,-0.004467
60393.940000,764591685.182587,149639757.096004,45.175842,-0.004479
60393.960000,764593413.182587,149640660.677267,45.295933,-0.004491
60393.980000,764595141.182587,149641558.308587,45.414642,-0.004503
60394.000000,764596869.182587,149642450.001680,45.531972,-0.004515
60394.020000,764598597.182586,149643335.768084,45.647929,-0.004526
60394.040000,764600325.182586,149644215.618609,45.762519,-0.004538
60394.060000,764602053.182585,149645089.563881,45.875745,-0.004549
60394.080000,764603781.182585,149645957.614531,45.987613,-0.004560
60394.100000,764605509.182585,149646819.781184,46.098128,-0.004571
60394.120000,764607237.182585,149647676.074470,46.207294,-0.004582
60394.140000,764608965.182585,149648526.505017,46.315117,-0.004592
60394.160000,764610693.182584,149649371.083452,46.421602,-0.004603
60394.180000,764612421.182584,149650209.820404,46.526752,-0.004613
60394.200000,764614149.182584,149651042.726500,46.630574,-0.004623
