# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60391.900000,764415429.182616,-426042.946133,116477.043599,68826.350943,-0.427904,-0.828589,-0.693359
60391.920000,764417157.182615,-426777.793118,115045.162940,67628.298477,-0.422619,-0.828679,-0.693266
60391.940000,764418885.182615,-427503.521550,113613.133139,66430.421447,-0.417351,-0.828762,-0.693153
60391.960000,764420613.182615,-428220.160190,112180.965272,65232.757309,-0.412099,-0.828838,-0.693019
60391.980000,764422341.182615,-428927.737798,110748.670417,64035.343520,-0.406863,-0.828909,-0.692864
60392.000000,764424069.182614,-429626.283135,109316.259650,62838.217536,-0.401643,-0.828973,-0.692690
60392.020000,764425797.182614,-430315.824550,107883.743971,61641.415679,-0.396439,-0.829030,-0.692496
60392.040000,764427525.182614,-430996.388755,106451.134078,60444.969746,-0.391251,-0.829082,-0.692283
60392.060000,764429253.182613,-431668.002053,105018.440593,59248.910400,-0.386078,-0.829127,-0.692051
60392.080000,764430981.182613,-432330.690746,103585.674135,58053.268305,-0.380922,-0.829167,-0.691800
60392.100000,764432709.182613,-432984.481136,102152.845327,56858.074125,-0.375780,-0.829200,-0.691531
60392.120000,764434437.182613,-433629.399526,100719.964788,55663.358522,-0.370654,-0.829226,-0.691243
60392.140000,764436165.182612,-434265.472219,99287.043141,54469.152162,-0.365544,-0.829247,-0.690938
60392.160000,764437893.182612,-434892.725515,97854.091007,53275.485706,-0.360448,-0.829262,-0.690615
60392.180000,764439621.182612,-435511.185719,96421.119006,52082.389819,-0.355368,-0.829270,-0.690275
60392.200000,764441349.182611,-436120.879131,94988.137760,50889.895165,-0.350302,-0.829272,-0.689917
60392.220000,764443077.182611,-436721.832055,93555.157890,49698.032406,-0.345251,-0.829268,-0.689543
60392.240000,764444805.182611,-437314.070792,92122.190016,48506.832207,-0.340215,-0.829258,-0.689152
60392.260000,764446533.182610,-437897.621594,90689.244759,47316.325126,-0.335194,-0.829242,-0.688745
60392.280000,764448261.182610,-438472.509540,89256.332709,46126.539286,-0.330186,-0.829220,-0.688322
60392.300000,764449989.182610,-439038.758534,87823.464425,44937.500379,-0.325194,-0.829191,-0.687883
60392.320000,764451717.182610,-439596.392430,86390.650467,43749.233991,-0.320215,-0.829157,-0.687429
60392.340000,764453445.182609,-440145.435083,84957.901394,42561.765706,-0.315250,-0.829116,-0.686959
60392.360000,764455173.182609,-440685.910347,83525.227764,41375.121111,-0.310300,-0.829070,-0.686474
60392.380000,764456901.182609,-441217.842075,82092.640136,40189.325790,-0.305363,-0.829017,-0.685974
60392.400000,764458629.182609,-441741.254123,80660.149069,39004.405329,-0.300441,-0.828958,-0.685459
60392.420000,764460357.182608,-442256.170343,79227.765122,37820.385314,-0.295532,-0.828893,-0.684929
60392.440000,764462085.182608,-442762.614591,77795.498854,36637.291329,-0.290636,-0.828822,-0.684385
