# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60394.240000,764617605.182583,463193.931096,40.581769,-0.168686
60394.260000,764619333.182583,463301.519124,40.528527,-0.302754
60394.280000,764621061.182582,463408.251729,40.474917,-0.437494
60394.300000,764622789.182582,463514.121951,40.420938,-0.572898
60394.320000,764624517.182582,463619.122840,40.366586,-0.708956
60394.340000,764626245.182582,463723.247447,40.311860,-0.845658
60394.360000,764627973.182582,463826.488821,40.256757,-0.982995
60394.380000,764629701.182581,463928.840015,40.201274,-1.120956
60394.400000,764631429.182581,464030.294077,40.145409,-1.259532
60394.420000,764633157.182581,464130.844060,40.089160,-1.398715
60394.440000,764634885.182580,464230.483012,40.032525,-1.538493
60394.460000,764636613.182580,464329.203985,39.975501,-1.678857
60394.480000,764638341.182580,464427.000029,39.918085,-1.819798
60394.500000,764640069.182579,464523.864196,39.860275,-1.961306
60394.520000,764641797.182579,464619.789624,39.802070,-2.103371
60394.540000,764643525.182579,464714.769819,39.743465,-2.245986
60394.560000,764645253.182579,464808.798372,39.684459,-2.389143
60394.580000,764646981.182579,464901.868877,39.625049,-2.532834
60394.600000,764648709.182578,464993.974927,39.565232,-2.677051
60394.620000,764650437.182578,465085.110116,39.505006,-2.821787
60394.640000,764652165.182578,465175.268036,39.444368,-2.967033
60394.660000,764653893.182577,465264.442281,39.383315,-3.112782
60394.680000,764655621.182577,465352.626445,39.321845,-3.259026
60394.700000,764657349.182577,465439.814119,39.259954,-3.405758
60394.720000,764659077.182577,465525.998899,39.197642,-3.552969
60394.740000,764660805.182576,465611.174376,39.134903,-3.700651
60394.760000,764662533.182576,465695.334155,39.071738,-3.848798
60394.780000,764664261.182576,465778.472099,39.008141,-3.997402
60394.800000,764665989.182575,465860.582325,38.944110,-4.146455
60394.820000,764667717.182575,465941.658966,38.879643,-4.295953
60394.840000,764669445.182575,466021.696151,38.814737,-4.445888
60394.860000,764671173.182575,466100.688011,38.749387,-4.596254
60394.880000,764672901.182574,466178.628675,38.683592,-4.747044
60394.900000,764674629.182574,466255.512276,38.617349,-4.898252
60394.920000,764676357.182574,466331.332942,38.550654,-5.049871
60394.940000,764678085.182573,466406.084805,38.483504,-5.201896
60394.960000,764679813.182573,466479.761995,38.415896,-5.354319
60394.980000,764681541.182573,466552.358642,38.347829,-5.507133
60395.000000,764683269.182573,466623.868877,38.279297,-5.660334
60395.020000,764684997.182572,466694.286919,38.210299,-5.813913
60395.040000,764686725.182572,466763.607341,38.140831,-5.967866
60395.060000,764688453.182572,466831.824807,38.070890,-6.122186
60395.080000,764690181.182571,466898.933977,38.000472,-6.276869
60395.100000,764691909.182571,466964.929515,37.929574,-6.431909
60395.120000,764693637.182571,467029.806082,37.858193,-6.587299
60395.140000,764695365.182571,467093.558341,37.786324,-6.743035
60395.160000,764697093.182570,467156.180954,37.713965,-6.899111
60395.180000,764698821.182570,467217.668584,37.641113,-7.055522
60395.200000,764700549.182570,467278.015892,37.567763,-7.212261
60395.220000,764702277.182570,467337.217540,37.493913,-7.369324
60395.240000,764704005.182569,467395.268192,37.419558,-7.526704
60395.260000,764705733.182569,467452.162521,37.344697,-7.684396
60395.280000,764707461.182569,467507.895451,37.269324,-7.842395
60395.300000,764709189.182568,467562.462164,37.193437,-8.000696
60395.320000,764710917.182568,467615.857849,37.117030,-8.159294
60395.340000,764712645.182568,467668.077696,37.040101,-8.318184
60395.360000,764714373.182568,467719.116895,36.962646,-8.477361
60395.380000,764716101.182567,467768.970637,36.884659,-8.636820
60395.400000,764717829.182567,467817.634112,36.806139,-8.796556
60395.420000,764719557.182567,467865.102510,36.727079,-8.956564
60395.440000,764721285.182567,467911.371022,36.647478,-9.116840
60395.460000,764723013.182566,467956.434837,36.567330,-9.277378
60395.480000,764724741.182566,468000.289146,36.486632,-9.438173
60395.500000,764726469.182566,468042.929139,36.405381,-9.599221
60395.520000,764728197.182565,468084.350094,36.323571,-9.760516
60395.540000,764729925.182565,468124.547640,36.241198,-9.922054
60395.560000,764731653.182565,468163.517495,36.158259,-10.083830
60395.580000,764733381.182565,468201.255375,36.074748,-10.245840
60395.600000,764735109.182564,468237.756998,35.990661,-10.408080
60395.620000,764736837.182564,468273.018080,35.905994,-10.570544
60395.640000,764738565.182564,468307.034338,35.820742,-10.733228
60395.660000,764740293.182563,468339.801490,35.734899,-10.896128
60395.680000,764742021.182563,468371.315253,35.648463,-11.059239
60395.700000,764743749.182563,468401.571343,35.561428,-11.222557
60395.720000,764745477.182563,468430.565478,35.473790,-11.386076
60395.740000,764747205.182562,468458.293374,35.385545,-11.549793
60395.760000,764748933.182562,468484.750761,35.296687,-11.713703
60395.780000,764750661.182562,468509.933619,35.207211,-11.877802
60395.800000,764752389.182562,468533.838183,35.117114,-12.042084
60395.820000,764754117.182561,468556.460700,35.026389,-12.206547
60395.840000,764755845.182561,468577.797415,34.935031,-12.371185
60395.860000,764757573.182561,468597.844576,34.843035,-12.535994
60395.880000,764759301.182560,468616.598428,34.750395,-12.700970
60395.900000,764761029.182560,468634.055218,34.657107,-12.866108
60395.920000,764762757.182560,468650.211191,34.563164,-13.031405
60395.940000,764764485.182560,468665.062593,34.468563,-13.196855
60395.960000,764766213.182559,468678.605672,34.373297,-13.362455
60395.980000,764767941.182559,468690.836673,34.277361,-13.528200
60396.000000,764769669.182559,468701.751842,34.180750,-13.694086
60396.020000,764771397.182559,468711.347515,34.083459,-13.860109
60396.040000,764773125.182558,468719.620384,33.985482,-14.026264
60396.060000,764774853.182558,468726.567231,33.886812,-14.192547
60396.080000,764776581.182558,468732.184838,33.787443,-14.358953
60396.100000,764778309.182557,468736.469986,33.687369,-14.525479
60396.120000,764780037.182557,468739.419458,33.586584,-14.692120
60396.140000,764781765.182557,468741.030034,33.485082,-14.858872
60396.160000,764783493.182557,468741.298497,33.382856,-15.025730
60396.180000,764785221.182556,468740.221629,33.279901,-15.192691
60396.200000,764786949.182556,468737.796212,33.176210,-15.359750
60396.220000,764788677.182556,468734.019026,33.071778,-15.526902
60396.240000,764790405.182555,468728.886854,32.966597,-15.694144
60396.260000,764792133.182555,468722.396489,32.860662,-15.861471
60396.280000,764793861.182555,468714.544986,32.753966,-16.028879
60396.300000,764795589.182555,468705.329662,32.646502,-16.196363
60396.320000,764797317.182554,468694.747846,32.538262,-16.363919
60396.340000,764799045.182554,468682.796866,32.429240,-16.531543
60396.360000,764800773.182554,468669.474050,32.319427,-16.699229
60396.380000,764802501.182553,468654.776726,32.208818,-16.866975
60396.400000,764804229.182553,468638.702224,32.097404,-17.034774
60396.420000,764805957.182553,468621.247872,31.985178,-17.202624
60396.440000,764807685.182553,468602.410997,31.872134,-17.370519
60396.460000,764809413.182552,468582.188929,31.758263,-17.538455
60396.480000,764811141.182552,468560.578995,31.643558,-17.706427
60396.500000,764812869.182552,468537.578525,31.528013,-17.874432
60396.520000,764814597.182552,468513.184941,31.411620,-18.042464
60396.540000,764816325.182551,468487.396039,31.294369,-18.210519
60396.560000,764818053.182551,468460.209711,31.176254,-18.378593
60396.580000,764819781.182551,468431.623849,31.057265,-18.546680
60396.600000,764821509.182550,468401.636343,30.937393,-18.714775
60396.620000,764823237.182550,468370.245085,30.816630,-18.882875
60396.640000,764824965.182550,468337.447966,30.694968,-19.050974
60396.660000,764826693.182550,468303.242878,30.572397,-19.219067
60396.680000,764828421.182549,468267.627710,30.448910,-19.387149
60396.700000,764830149.182549,468230.600356,30.324497,-19.555217
60396.720000,764831877.182549,468192.158705,30.199150,-19.723264
60396.740000,764833605.182549,468152.300649,30.072860,-19.891287
60396.760000,764835333.182548,468111.024092,29.945619,-20.059281
60396.780000,764837061.182548,468068.327217,29.817417,-20.227239
60396.800000,764838789.182548,468024.208487,29.688244,-20.395158
60396.820000,764840517.182547,467978.666378,29.558090,-20.563032
60396.840000,764842245.182547,467931.699366,29.426945,-20.730855
60396.860000,764843973.182547,467883.305927,29.294798,-20.898622
60396.880000,764845701.182547,467833.484536,29.161639,-21.066328
60396.900000,764847429.182546,467782.233668,29.027458,-21.233967
60396.920000,764849157.182546,467729.551801,28.892244,-21.401534
60396.940000,764850885.182546,467675.437408,28.755988,-21.569023
60396.960000,764852613.182546,467619.888966,28.618679,-21.736430
60396.980000,764854341.182545,467562.904951,28.480307,-21.903748
60397.000000,764856069.182545,467504.483838,28.340861,-22.070973
60397.020000,764857797.182545,467444.624205,28.200331,-22.238098
60397.040000,764859525.182544,467383.325038,28.058706,-22.405118
60397.060000,764861253.182544,467320.585423,27.915972,-22.572027
60397.080000,764862981.182544,467256.404450,27.772118,-22.738817
60397.100000,764864709.182544,467190.781206,27.627131,-22.905484
60397.120000,764866437.182543,467123.714778,27.481000,-23.072019
60397.140000,764868165.182543,467055.204254,27.333711,-23.238418
60397.160000,764869893.182543,466985.248722,27.185253,-23.404674
60397.180000,764871621.182543,466913.847269,27.035613,-23.570780
60397.200000,764873349.182542,466840.998984,26.884780,-23.736730
60397.220000,764875077.182542,466766.702954,26.732740,-23.902518
60397.240000,764876805.182542,466690.958266,26.579482,-24.068137
60397.260000,764878533.182541,466613.764022,26.424994,-24.233581
60397.280000,764880261.182541,466535.119632,26.269262,-24.398844
60397.300000,764881989.182541,466455.024817,26.112270,-24.563917
60397.320000,764883717.182541,466373.479310,25.954006,-24.728792
60397.340000,764885445.182540,466290.482845,25.794454,-24.893462
60397.360000,764887173.182540,466206.035155,25.633599,-25.057920
60397.380000,764888901.182540,466120.135974,25.471427,-25.222156
60397.400000,764890629.182539,466032.785037,25.307923,-25.386165
60397.420000,764892357.182539,465943.982075,25.143072,-25.549937
60397.440000,764894085.182539,465853.726824,24.976861,-25.713465
60397.460000,764895813.182539,465762.019016,24.809273,-25.876742
60397.480000,764897541.182538,465668.858385,24.640295,-26.039759
60397.500000,764899269.182538,465574.244665,24.469913,-26.202510
60397.520000,764900997.182538,465478.177704,24.298110,-26.364985
60397.540000,764902725.182537,465380.657808,24.124870,-26.527175
60397.560000,764904453.182537,465281.685397,23.950175,-26.689070
60397.580000,764906181.182537,465181.260892,23.774008,-26.850662
60397.600000,764907909.182537,465079.384712,23.596352,-27.011939
60397.620000,764909637.182536,464976.057278,23.417189,-27.172892
60397.640000,764911365.182536,464871.279010,23.236501,-27.333511
60397.660000,764913093.182536,464765.050328,23.054272,-27.493786
60397.680000,764914821.182536,464657.371653,22.870483,-27.653708
60397.700000,764916549.182535,464548.243405,22.685118,-27.813267
60397.720000,764918277.182535,464437.666005,22.498158,-27.972452
60397.740000,764920005.182535,464325.639872,22.309587,-28.131254
60397.760000,764921733.182534,464212.165442,22.119386,-28.289664
60397.780000,764923461.182534,464097.243503,21.927537,-28.447669
60397.800000,764925189.182534,463980.875194,21.734019,-28.605256
60397.820000,764926917.182534,463863.061670,21.538812,-28.762414
60397.840000,764928645.182533,463743.804087,21.341895,-28.919130
60397.860000,764930373.182533,463623.103599,21.143248,-29.075389
60397.880000,764932101.182533,463500.961361,20.942848,-29.231180
60397.900000,764933829.182533,463377.378528,20.740677,-29.386490
60397.920000,764935557.182532,463252.356255,20.536714,-29.541306
60397.940000,764937285.182532,463125.895697,20.330937,-29.695614
60397.960000,764939013.182532,462997.998009,20.123327,-29.849403
60397.980000,764940741.182531,462868.664345,19.913862,-30.002659
60398.000000,764942469.182531,462737.895862,19.702522,-30.155369
60398.020000,764944197.182531,462605.693844,19.489286,-30.307521
60398.040000,764945925.182531,462472.060107,19.274130,-30.459096
60398.060000,764947653.182530,462336.996595,19.057031,-30.610079
60398.080000,764949381.182530,462200.505254,18.837964,-30.760452
60398.100000,764951109.182530,462062.588029,18.616906,-30.910198
60398.120000,764952837.182529,461923.246866,18.393832,-31.059300
60398.140000,764954565.182529,461782.483709,18.168719,-31.207740
60398.160000,764956293.182529,461640.300505,17.941543,-31.355502
60398.180000,764958021.182529,461496.699199,17.712280,-31.502568
60398.200000,764959749.182528,461351.681735,17.480906,-31.648921
60398.220000,764961477.182528,461205.250061,17.247397,-31.794544
60398.240000,764963205.182528,461057.406120,17.011729,-31.939419
60398.260000,764964933.182528,460908.151876,16.773878,-32.083531
60398.280000,764966661.182527,460757.489702,16.533819,-32.226857
60398.300000,764968389.182527,460605.422379,16.291524,-32.369375
60398.320000,764970117.182527,460451.952709,16.046968,-32.511062
60398.340000,764971845.182527,460297.083490,15.800123,-32.651894
60398.360000,764973573.182526,460140.817522,15.550962,-32.791848
60398.380000,764975301.182526,459983.157606,15.299459,-32.930902
60398.400000,764977029.182526,459824.106541,15.045586,-33.069030
60398.420000,764978757.182525,459663.667128,14.789317,-33.206211
60398.440000,764980485.182525,459501.842165,14.530625,-33.342420
60398.460000,764982213.182525,459338.634454,14.269484,-33.477635
60398.480000,764983941.182524,459174.046793,14.005865,-33.611833
60398.500000,764985669.182524,459008.081984,13.739743,-33.744989
60398.520000,764987397.182524,458840.742979,13.471091,-33.877079
60398.540000,764989125.182524,458672.033353,13.199880,-34.008073
60398.560000,764990853.182523,458501.956832,12.926081,-34.137939
60398.580000,764992581.182523,458330.517143,12.649668,-34.266645
60398.600000,764994309.182523,458157.718013,12.370611,-34.394158
60398.620000,764996037.182523,457983.563170,12.088882,-34.520448
60398.640000,764997765.182522,457808.056341,11.804453,-34.645481
60398.660000,764999493.182522,457631.201253,11.517295,-34.769227
60398.680000,765001221.182522,457453.001633,11.227381,-34.891652
60398.700000,765002949.182521,457273.461209,10.934682,-35.012727
60398.720000,765004677.182521,457092.583707,10.639169,-35.132417
60398.740000,765006405.182521,456910.372855,10.340816,-35.250692
60398.760000,765008133.182521,456726.832401,10.039592,-35.367519
60398.780000,765009861.182520,456541.966576,9.735471,-35.482861
60398.800000,765011589.182520,456355.780097,9.428427,-35.596673
60398.820000,765013317.182520,456168.277698,9.118434,-35.708913
60398.840000,765015045.182520,455979.464116,8.805464,-35.819536
60398.860000,765016773.182519,455789.344088,8.489493,-35.928499
60398.880000,765018501.182519,455597.922349,8.170493,-36.035758
60398.900000,765020229.182519,455405.203636,7.848439,-36.141269
60398.920000,765021957.182518,455211.192685,7.523304,-36.244988
60398.940000,765023685.182518,455015.894232,7.195062,-36.346872
60398.960000,765025413.182518,454819.313014,6.863687,-36.446877
60398.980000,765027141.182518,454621.453765,6.529152,-36.544959
60399.000000,765028869.182517,454422.321224,6.191431,-36.641075
60399.020000,765030597.182517,454221.920308,5.850500,-36.735178
60399.040000,765032325.182517,454020.256671,5.506340,-36.827211
60399.060000,765034053.182516,453817.336149,5.158932,-36.917115
60399.080000,765035781.182516,453613.164577,4.808261,-37.004831
60399.100000,765037509.182516,453407.747792,4.454307,-37.090299
60399.120000,765039237.182516,453201.091628,4.097054,-37.173460
60399.140000,765040965.182515,452993.201923,3.736484,-37.254254
60399.160000,765042693.182515,452784.084511,3.372580,-37.332623
60399.180000,765044421.182515,452573.745229,3.005325,-37.408506
60399.200000,765046149.182515,452362.189913,2.634700,-37.481844
60399.220000,765047877.182514,452149.424398,2.260689,-37.552579
60399.240000,765049605.182514,451935.454521,1.883273,-37.620650
60399.260000,765051333.182514,451720.286141,1.502437,-37.685998
60399.280000,765053061.182513,451503.925696,1.118172,-37.748553
60399.300000,765054789.182513,451286.380193,0.730480,-37.808238
