# epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60394.098596,764605318.674831,-405124.643864,-19421.685083,603.249918,0.051283,-0.853790,-0.465599
60394.126846,764607759.498584,-404992.269349,-21505.281497,-533.204678,0.057184,-0.853494,-0.465604
60394.153340,764610048.573418,-404855.036860,-23458.650204,-1598.996129,0.062718,-0.853189,-0.465592
60394.215480,764615417.511139,-404483.474523,-28037.229456,-4098.541406,0.075693,-0.852367,-0.465508
60394.251305,764618512.730186,-404237.615701,-30674.664761,-5539.263304,0.083170,-0.851824,-0.465422
60394.274134,764620485.147080,-404068.871570,-32354.454481,-6457.202553,0.087934,-0.851453,-0.465353
60394.296809,764622444.326541,-403891.960072,-34022.225455,-7368.835884,0.092664,-0.851064,-0.465273
60394.322378,764624653.476988,-403681.361726,-35901.846825,-8396.583649,0.097996,-0.850601,-0.465171
60394.344219,764626540.486789,-403492.146166,-37506.550342,-9274.273699,0.102549,-0.850186,-0.465072
60394.363666,764628220.764947,-403316.429542,-38934.777084,-10055.644219,0.106602,-0.849800,-0.464976
60394.379884,764629621.965990,-403164.690568,-40125.286337,-10707.108711,0.109982,-0.849468,-0.464889
60394.393170,764630769.859648,-403036.854874,-41100.224839,-11240.709438,0.112749,-0.849188,-0.464814
60394.404336,764631734.618695,-402926.957169,-41919.370573,-11689.111620,0.115075,-0.848947,-0.464748
60394.411416,764632346.350287,-402856.111262,-42438.650889,-11973.399723,0.116549,-0.848792,-0.464705
60394.418849,764632988.589471,-402780.761728,-42983.725400,-12271.836755,0.118097,-0.848627,-0.464659
60394.424934,764633514.294801,-402718.344513,-43429.817220,-12516.100143,0.119364,-0.848490,-0.464620
60394.430424,764633988.629030,-402661.455124,-43832.255710,-12736.476782,0.120507,-0.848366,-0.464584
60394.432997,764634210.906244,-402634.609721,-44020.821563,-12839.741352,0.121042,-0.848307,-0.464567
60394.436265,764634493.332123,-402600.328194,-44260.394834,-12970.944052,0.121723,-0.848232,-0.464545
60394.439183,764634745.424978,-402569.566253,-44474.219585,-13088.050137,0.122330,-0.848165,-0.464526
60394.443305,764635101.535553,-402525.850551,-44776.242994,-13253.467665,0.123188,-0.848069,-0.464498
60394.447258,764635443.119742,-402483.631063,-45065.914222,-13412.128076,0.124010,-0.847977,-0.464470
60394.451254,764635788.338545,-402440.676806,-45358.635527,-13572.467198,0.124842,-0.847883,-0.464443
60394.456069,764636204.398368,-402388.526658,-45711.381781,-13765.696024,0.125844,-0.847769,-0.464409
60394.460784,764636611.756870,-402337.063274,-46056.704677,-13954.869922,0.126825,-0.847656,-0.464375
60394.465591,764637027.077151,-402284.182671,-46408.729492,-14147.726931,0.127825,-0.847541,-0.464340
